en-US,fr-FR,de-DE,it-IT,pt-PT,es-ES,ca-ES
SentinelOne,SentinelOne,SentinelOne,SentinelOne,SentinelOne,SentinelOne,SentinelOne
recoveryOS,recoveryOS,recoveryOS,recoveryOS,recoveryOS,recoveryOS,recoveryOS
Workflow,Flux de travail,Workflow,Flusso di lavoro,Fluxo de trabalho,Flujo de trabajo,Flux de treball
Work hours,Heures de travail,Arbeitszeit,Ore di lavoro,Horas de trabalho,Horas de trabajo,Hores de treball
Work details,Informations professionnelles,Arbeitsdetails,Informazioni lavorative,Informações laborais,Detalles laborales,Detalls laborals
Widget,Module,Widget,Widget,Widget,Widget,Giny
View,Voir,Anzeigen,Vedi,Ver,Ver,Veure
Variables,Variables,Variablen,Variabili,Variáveis,Variables,Variables
Upload,Importer,Hochladen,Carica,Carregar,Subir,Penjar
Turnover rate,Taux de rotation,Mitarbeiterfluktuation,Tasso di turnover,Taxa de turnover,Tasa de rotación,Índex de fidelitat
Trigger,Déclencheur,Auslöser,Trigger,Gatilho,Activador,Activador
Toggle,Activer/désactiver,Aktivieren/Deaktivieren,Toggle,Botão de alternância,Interruptor,Opció
Tenure date,Date d’ancienneté,Ersteintrittsdatum,Data di incarico,Data de antiguidade,Fecha de antigüedad,Data d’antiguitat
Teamwork,Travail en équipe,Teamwork,Lavoro di squadra,Trabalho em equipa,Trabajo en equipo,Treball en equip
State,Région/Département,Bundesland,Stato,Estado,Estado,Província
Sign up,S’inscrire,Registrieren,Registrati,Registar-se,Registrarme,Registrar-se
Sign in,Se connecter,Anmelden,Entra,Iniciar sessão,Iniciar sesión,Iniciar sessió
Settings,Paramètres,Einstellungen,Impostazioni,Configuração,Configuraciones,Configuració
Save as draft,Enregistrer comme brouillon,Als Entwurf speichern,Salva come bozza,Guardar como rascunho,Guardar como borrador,Desar com a esborrany
Save,Enregistrer,Speichern,Salva,Guardar,Guardar,Desar
Role,Rôle,Stelle,Ruolo,Função,Rol,Càrrec
Retention rate,Taux de rétention,Mitarbeiterbindung,Tasso di retenzione,Taxa de retenção,Tasa de retención,Índex de retenció
Request,Demande,Anfrage,Richiesta,Pedido,Solicitud,Sol·licitud
Reports,Rapports,Berichte,Report,Relatórios,Informes,Informes
Preferences,Préférences,Benutzereinstellungen,Preferenze,Preferências,Preferencias,Preferències
Policy,Politique,Richtlinie,Politica,Política,Política,Política
Pipeline,Processus,Prozess,Pipeline,Pipeline,Pipeline,Procés
Permission,Autorisation,Berechtigung,Autorizzazione,Permissão,Permiso,Permís
Payslip,Fiche de paie,Gehaltsabrechnung,Busta paga,Holerite,Nóminas,Nòmina
Parent company,Société mère,Mutterunternehmen,Società madre,Empresa-mãe,"Empresa matriz, dominante",Empresa afiliada
Overview,Aperçu,Übersicht,Panoramica,Visão geral,Resumen,Vista general
Onboarding,Intégration,Onboarding,Onboarding,Onboarding,Onboarding,Incorporació
Offboarding,Départ,Offboarding,Offboarding,Offboarding,Offboarding,Sortida
New,Nouveau,Neu,Nuovo,Novo,Nuevo,Nou
MFA,MFA,MFA,MFA,AMF (Autenticação multifator),AMF,AMF
Mandatory field,Champ obligatoire,Pflichtfeld,Campo obbligatorio,Campo obrigatório,Campo obligatorio,Camp obligatori
Manager,Manager,Vorgesetzter,Manager,Gestor,Manager,Mànager
Logout,Se déconnecter,Ausloggen,Esci,Terminar sessão,Cerrar sesión,Tancar sessió
Log in,Se connecter,Einloggen,Accedi,Iniciar sessão,Iniciar sesión,Iniciar sessió
Link,Associer/Attribuer,Link,Link,Ligar,Enlace,Vincular
Leavers,Départs,Austritte,Ex dipendenti,Saídas,Bajas,Baixes
Learn more,En savoir plus,Mehr erfahren,Scopri di più,Saiba mais,Más información,Més informació
Joiners,Nouvelles embauches,Neueinstellungen,Assunti,Entradas,Incorporaciones,Altes
Internal company documents,Documents internes de l’entreprise,Interne Unternehmensdokumente,Documenti aziendali interni,Documentos internos da empresa,Documentos internos de la empresa,Documents interns de l’empresa
Insights,Vue d’ensemble,Insights,Insights,Insights,Insights,Anàlisis
Hub,Hub,Hub,Hub,Hub,Hub,Hub
HR,RH,HR,HR,RH,RH,RH
Headcount,Effectif,Personalbestand,Organico,Total de colaboradores,Plantilla de empleados,Plantilla
Go to,Aller à,Zu … gehen,Vai a,Ir para,Ir a,Anar a
GDPR,RGPD,DSGVO,GDPR,RGPD,RGDP,RGPD
Fillable PDF,PDF à remplir,Ausfüllbare PDF-Datei,PDF compilabile,PDF preenchível,PDF rellenable,PDF emplenable
File,Fichier,Datei,File,Ficheiro,Archivo,Arxiu
Event,Événement,Veranstaltung,Evento,Eventos,Evento,Esdeveniment
Employment data,Données sur l’emploi,Beschäftigungsdaten,Dati lavorativi,Dados laborais,Datos laborales,Dades laborals
Employer,Employeur,Arbeitgeber,Datore di lavoro,Empregador,Empleador,Empresari
Employee documents,Documents du collaborateur,Mitarbeiterdokumente,Documenti del dipendente,Documentos do colaborador,Documentos del empleado,Documents del treballador
Email,E-mail,E-Mail-Adresse,Email,Email,Correo electrónico,Adreça electrònica
Document,Document,Dokument,Documento,Documento,Documento,Document
Direct report,Collaborateur direct,(Direkt) Unterstellter Mitarbeiter,Membro a carico,Subordinados diretos,Persona a cargo,Persona a càrrec
Developer,Développeur,Entwickler,Sviluppatore,Desenvolvedor,Desarrollador,Desenvolupador
Details,Détails/Informations,Details,Dettagli,Detalhes,Detalles,Detalls
Data retention,Conservation des données,Datenspeicherung,Conservazione dei dati,Retenção de dados,Retención de datos,Conservació de dades
Data privacy,Confidentialité des données,Datenschutz,Privacy dei dati,Privacidade de dados,Privacidad de datos,Privacitat de dades
Dashboard,Accueil,Dashboard,Dashboard,Painel,Panel de inicio,Tauler de control
CX,Expérience client,CX,CX,CX,CX,Atenció al client
Cost,Coût,Kosten,Costo,Custo,Costo,Cost/Preu
Condition,Condition,Bedingung,Condizione,Condição,Condición,Condició
Compliance,Conformité,Konformität,Conformità,Compliance,Cumplimiento,Compliment
Company communications,Communications de l'entreprise,Unternehmensmitteilungen,Comunicazioni aziendali,Comunicações da empresa,Comunicaciones de la empresa,Comunicats de l’empresa
Colleague,Collègue,Teammitglied,Collega,Colega,Colega,Company
Celebration,Célébration,Feierlichkeiten,Festeggiamento,Celebração,Celebración,Celebració
Bundle,Pack,Paket,Pacchetto,Pacote,Bundle,Paquet
Bulk import,Importation groupée,Massenimport,Importazione in blocco,Importação em massa,Importación en masa,Importació en massa
Basic info,Informations générales,Grundlegende Info,Informazioni di base,Informações básicas,Información básica,Informació bàsica
Automation,Automatisation,Automatisierung,Automazione,Automatização,Automatización,Automatització
Autofill,Remplir automatiquement,Automatisch ausfüllen,Riempimento automatico,Preenchimento automático,Relleno automático,Autoemplenar
Audit log,Journal d'audit,Audit-Log,Audit log,Registo de auditoria,Registro de auditoria,Registre d’auditoria
Approval flow,Flux d’approbation,Genehmigungsablauf,Flusso di approvazione,Fluxo de aprovação,Flujo de aprobación,Flux d’aprovació
